country_code,country,year,gdp_growth,employment_ratio
MDV,MDV,YR2020,-32.9088287284425,59.357
MDV,MDV,YR2021,37.5078700047075,60.967
MDV,MDV,YR2022,13.8260895306814,60.775
MDV,MDV,YR2023,4.72639195043021,60.725
NPL,NPL,YR1990,4.63503634698831,
NPL,NPL,YR1991,6.3681503973968,37.267
NPL,NPL,YR1992,4.10640661731669,37.274
NPL,NPL,YR1993,3.84985002629573,37.263
NPL,NPL,YR1994,8.21600269296587,37.261
NPL,NPL,YR1995,3.46845189309603,37.221
NPL,NPL,YR1996,5.32828417508708,37.199
NPL,NPL,YR1997,5.04861254517328,37.131
NPL,NPL,YR1998,3.01638947539399,37.1
NPL,NPL,YR1999,4.41257328041399,37.067
NPL,NPL,YR2000,6.19999998192236,37.059
NPL,NPL,YR2001,4.79989214255407,37.061
NPL,NPL,YR2002,0.120143177369414,36.991
NPL,NPL,YR2003,3.94503776051116,36.945
NPL,NPL,YR2004,4.68260325152944,36.927
NPL,NPL,YR2005,3.47918104829496,36.929
NPL,NPL,YR2006,3.36461478056277,36.855
NPL,NPL,YR2007,3.41156027980276,36.762
NPL,NPL,YR2008,6.10463914373472,36.722
NPL,NPL,YR2009,4.5330787246486,36.678
NPL,NPL,YR2010,4.81641464694573,36.652
NPL,NPL,YR2011,3.42180870116162,36.547
NPL,NPL,YR2012,4.67014192446953,36.41
NPL,NPL,YR2013,3.52515317129149,36.213
NPL,NPL,YR2014,6.01148284250441,36.074
NPL,NPL,YR2015,3.97605327162971,35.954
NPL,NPL,YR2016,0.433113719381524,35.795
NPL,NPL,YR2017,8.97727935643466,35.66
NPL,NPL,YR2018,7.62237610397933,35.545
NPL,NPL,YR2019,6.65705543110468,35.664
NPL,NPL,YR2020,-2.3696206292072,34.306
NPL,NPL,YR2021,4.838149614115,34.742
NPL,NPL,YR2022,5.6313145568451,35.483
NPL,NPL,YR2023,1.98254843628392,35.57
